<story>Justice|Florida-police-brutality</story>
<start>20080812175218.901</start>
<end>20080812175412.815</end>
the movies | is | farfetched 
Florida | shows | a handcuffed suspect 
Al Palfrey | has | the story 
he | is | CNN affiliate WPEC 
The incident | started | this armed hold-up 
A guy | wearing | a scarf 
He | gets | two bottles 
he | was nabbed | a policeman 
a squad car camera | show | the armed robber 
he | is | his feet 
Zangarra | punched | the guy 
he | spit | Jason Zangarra 
Officer Zangarra | did n't want | Jason Zangarra 
he | might have | some sort of disease 
We | are held | a much higher standard 
the two West Palm Beach officers | kicked | the man 
he | was | the ground 
Schwartz | wrote | the arrest report 
they | did | two 
they | were trying to prevent | the man 
emotions | run | pepper spray 
this agency | ca n't tolerate | The International Energy Agency 
Valenzwela | suffered | a cut 
his left eye | had | four stitches 
he | apologized | his actions 
he | 's had | a drug addiction 
One of those officers | involved | that beating 
the other two | are | administrative leave 
