<story>War|South-Ossetia-war</story>
<start>20080812190052.985</start>
<end>20080812190355.467</end>
Georgia | may not be | the only point 
the president of Russia today | called | a halt 
the president of France | representing | the European Union 
the two leaders | announced | a six-point plan 
we | 're going to check | that out 
Russia | wants | the Georgian president 
our Frederik Pleitgen | has been | the ground 
the very latest of what | is going | one 
People | have been playing | the national anthem of the country 
these flags | also holding | speeches 
the Georgians | attacked | Russians 
the people | are here say | most of the people 
Russian President Dmitry Medvedev | has called | an end 
two terms | will hear | a lot 
we | talked | tiptoes 
Russia's president | did | the same 
RUSSIAN PRESIDENT | -LRB- | translator -RRB- 
sovereignty | is based | the will of the people 
END VIDEO CLIP | sent | troops 
the breakaway regions | to protect | civilians 
