<story>Environment|Off-shore-drilling</story>
<start>20080812192019.684</start>
<end>20080812192334.178</end>
offshore oil drilling | heating | Washington 
GOP lawmakers | gathered to protest | the stalled energy bill 
she | told | CNN's Larry king 
she | would be | a vote 
They | have | this thing 
We | can have | a vote 
a vote on that | has to be | part of something 
we | want to bring | immediate relief 
a package | includes | drilling 
renewable energy resources | releasing | oil 
the nation's strategic reserve | to drive | gas prices 
they | 're | favor of drilling 
They | 're split | offshore drilling 
