<story>Activism|Anti-Obama-prayers</story>
<start>20080812203402.471</start>
<end>20080812203524.954</end>
the Family | has pulled | an online video 
people | to pray | rain 
Let's | go | our Internet reporter 
they | put | Abbi 
people | to pray not | a quick shower 
Abbi | to start maybe | a couple minutes 
THE FAMILY | -RRB- | UNIDENTIFIED MALE 
just good old `` | swamp | the intersections '' rain 
We | 're not asking | hail 
the size of canned hams or lightning bolts | to set | the bunting 
network cameras | ca n't see | the podium '' rain 
he | 's calling | the downpour 
We | want to mislead | people 
