<story>Money|Troops-baggage-fees</story>
<start>20080812235810.618</start>
<end>20080812235954.010</end>
a way | to offset | fuel costs 
Those airlines | charging | our troops 
they | head | off 
Deborah Feyerick | has | our report 
Our U.S. soldiers | paying | extra 
One staff sergeant | leaving | San Antonio 
Worth | was charged | $ 100 
the Veterans of Foreign Wars Organization | is worried | the practice 
airlines | are feeling | the pinch 
the bud | exempting | the military personnel 
orders | having to pay | a fee 
soldiers | do n't have | the time or money 
home | stand | that airline counter 
These young troops | are going | war 
have | to worry or try to remember to get | $ 100 reimbursement 
they | get | a war zone 
Veterans of Foreign Wars | sent | a letter 
the aviation industry | asking | U.S. troops 
others | reached | CNN 
the practice | saying | troops 
heavier and bigger bags | can check | two 
An American Airlines spokesman | tells | CNN troops 
