<story>Crime|Caylee-Anthony-missing</story>
<start>20080813023254.337</start>
<end>20080813023653.842</end>
year-old Caylee Anthony | not talking | police 
her mother 's brother | was canceled | today 
Casey Anthony | has been | bars 
police | think | she 
she | has certainly been lying | The police 
we | want to tell | her mother 's version of what 
they | found when | they 
Caylee Anthony's disappearance | ignite | a web of lies 
Police | say not only did | Casey Anthony 
a month | to report | Randi Kaye daughter missing 
she | sent | investigators 
Casey | had been | day one 
the importance | immediately deploying | resources 
Casey | showed | intent 
which | sent | red flags 
She | is | jail 
Casey Anthony | told | The police 
she | had dropped | Randi Kaye daughter 
a woman | named | Zenaida Gonzalez 
she | had used | a babysitter 
police | checked | the office 
they | were told | nobody 
the apartment Casey | had said | Zenaida 
in | had been | more 
the name Zenaida Gonzalez | denied ever meeting | Caylee or Casey 
Casey | attempted to show | Investigators 
he | 's seen | no proof Casey 
all the facts | are revealed | everything 
people | will have | a clear understanding of the compelling reasons 
KAYE | -LRB- | camera -RRB- 
Casey | took | investigators 
she | told | Investigators 
she | worked here | an event coordinator 
one of those co-workers | had been fired | Caylee 
The other there | was | no record 
Casey | began to lead | investigators 
she | had n't been telling | the truth 
she | had been fired | Universal April 24 
The affidavit | shows | Casey 
she | received | a phone call 
she | spoke | Caylee daughter 
the last person | to have seen | Caylee 
we | can rely | on 
She | has n't done | this point 
Casey Anthony | lying to protect | herself 
Investigators | wish | they 
they | 're | investigators 
they | say even | Casey 
now | does not mean | she 
They | think | investigators 
they | 're only focusing | Casey 
They | are following | the more than 1,000 tips 
They | 're looking | everything and everyone 
they | keep coming back | Casey 
We | 're going to have | more 
the Oprah effect | is just | hype 
