<story>Politics|Oprah-Obama-endorsement</story>
<start>20080813024825.934</start>
<end>20080813025106.728</end>
Oprah Winfrey | sharing | a stage 
high wattage | translate | actual votes 
a new study | shows | the pundits 
tonight | comes | Oprah 
She | endorses | a book 
She | mentions | one of her favorite products 
one of her favorite products | apply | voters 
Oprah | endorsed | Senator Barack Obama 
we | found | an effect 
Maryland | used | a formula 
They | compared | the data 
votes | cast | Obama 
two grad students math | showed | Oprah 
they | admit | 1,059,000 
We | 've never really had | an academic study 
she | brought | Barack Obama 
maybe some of the `` O '' subscribers | would have voted | Obama anyway 
we | 've made | some pretty good efforts 
we | have n't found | people recording your conversations 
celebrity endorsements | can get | a candidate 
he | can win | whites 
We | reached out | the Obama campaign 
thousands of people | might not have been | politics 
we | were told | she 
