<story>Health|Olympics-swimmer-battling-cancer</story>
<start>20080813153220.002</start>
<end>20080813153504.533</end>
an inspiring Olympic story | comes | an end 
Swimmer Eric Shanteau | has failed to advance | the finals 
He | faces | a more important challenge 
He | is fighting | cancer 
He | 's been preparing | Beijing 
OLYMPIC SWIMMER | HAS | CANCER 
Olympic | is | as long as i 
just two months | realizing | his dream 
doctors | gave | U.S. swimmer Eric Shanteau devastating news 
basically the biggest low | can ever have | your life 
year-old Eric Shanteau | won | a spot 
the U.S. Olympic | swim | team 
He | made | the extremely difficult decision 
Beijing | to have | his operation 
his doctors | are closely monitoring | his condition 
the world's best-known testicular cancer survivor | is applauding | Shanteau's fight 
Armstrong | was diagnosed | a more advanced form of the disease 
someone | to delay | getting treatment 
everybody | wait | a period of three or four weeks 
they | do | a period of three or four weeks 
his favor | beat | me 
