<story>Money|Soldiers-baggage-fees</story>
<start>20080813172556.587</start>
<end>20080813172803.681</end>
Some people | finding | this kind of outrageous 
war | pay | the freight 
CNN's Deborah Feyerick | has | the story 
U.S. soldiers | setting | for war 
extra | to take | U.S. soldiers kit 
One staff sergeant | leaving | San Antonio 
Worth | was charged | $ 100 
the Veterans of Foreign Wars organization | is worried | the practice 
airlines | are feeling | the pinch 
the bud | exempting | the military personnel 
orders | having to pay | a fee 
soldiers | do n't have | the time or money 
that airline counter | have | three bags 
board | pay | $ 100 
These young troops | are going | war 
have | to worry or try to remember to get | $ 100 reimbursement 
they | get | a war zone 
Veterans of Foreign Wars | sent | a letter 
U.S. troops | be | any extra baggage fees 
others | reached | CNN 
troops | are allowed | heavier and bigger bags 
An American Airlines spokesman | tells | CNN troops 
they | do n't pay | a dime 
Vouchers | authorizing | extra baggage 
The group | representing | airlines 
The group | supports | the troops 
no plans | to ask | an across-the-board waiver 
