<story>Labor|Four-day-work-week</story>
<start>20080813182817.460</start>
<end>20080813183046.142</end>
CNN's John Zarrella | has been looking | the pluses 
more places | are trying | CNN 's John Zarrella 
They | 're trying | CNN 's John Zarrella 
we | learned | a school 
the state government | is experimenting | a four-day workweek 
Phalaropes | stopping | point 
wildlife employee Rich Hansen | manages | this vast migratory bird habitat 
he | swears | a four-day workweek 
cuts | fuel | cost 
we | got | a longer workday 
we | need to do | that one day 
Hansen | predicts | other state employees 
most state government offices | began closing | Fridays 
1,000 state buildings | is expected to save | Utah $ 3 million 
Seventeen thousand employees | are now | a four-day workweek 
Francine Giani | runs | the Department of Commerce 
she | 's serving | cold drinks 
Someone | asked | that several times 
other department heads | have been instructed to help | workers 
an employee | wants to work and do | workers best 
Officials | believe | the extended office hours 
a three-day weekend | to go | camping or fishing 
they | are filled | energy drinks 
John Zarrella | will look | a four-day workweek impacts 
