<story>Human-interest|Cindy-McCain-hand-hospitalized</story>
<start>20080813203327.803</start>
<end>20080813203425.561</end>
this press conference | was actually | his wife 
We | saw | his wife standing side 
he | made | a little joke 
She | was taken | the hospital 
Let | 's take | a listen 
BEGIN VIDEO CLIP | -RRB- | J. MCCAIN 
many of you | are wondering | Cindy's new attire 
LAUGHTER | -RRB- | J. MCCAIN 
an individual | shook | Cindy 's hand 
she | has | a minor sprain 
she | looks | a lot 
We | are following | all of this news 
