<story>Politics|Swift-boat-book-Obamanation</story>
<start>20080813204128.617</start>
<end>20080813204434.002</end>
The facts | are mixed | accusations 
the author's claims | might catch | some voters 
Our CNN's Jessica Yellin | joining | me 
he | told | me 
he | wrote | The book 
he | feels | the mainstream media 
he | wants to see | Obama 
He | is lying | his record 
the man | wrote | the Swift Boat book 
he | 's been promoting | END VIDEO CLIP 
Americans | know | Obama 
he | was | a state senator 
The book | debuted | number one 
the `` New York Times '' bestseller list | scored | an article 
Obama | is | the extreme left of American politics 
Obama's | been explaining | he 
just stuff | is designed to make | people 
Obama's mother | chose | another Third World prospect 
the Associated Press | verified | he 
a conservative Web site | describing | Islam 
the `` boys | are buggered | the infidels 
Campaign supporters | 's reason | enough 
anybody's | going to take | Jerome Corsi 
the right wing | have n't associated | themselves 
he | 's said | his career 
Corsi | told | me 
he | apologized | those postings online 
they | believe | this book 
nothing but | -- | quote 
a series of lies | were long ago discredited written | a person 
a similar book | to get | Bush and Cheney 
an attempt | to continue | those politics 
many people | will try to make | money 
a new book | looks | they 
these attacks | outlined | the book 
