<story>International|South-Ossetia-presidential-campaign</story>
<start>20080813221522.219</start>
<end>20080813221629.519</end>
The presidential candidates | are weighing | this conflict 
Russia's invasion | should force | the U.S. 
McCain | is also talking | the potential 
Georgia | to join | NATO 
no one | should wonder why | countries 
Barack Obama | is | vacation 
he | is also keeping | track of the situation 
Obama today | saying | a statement 
President Bush's decision | to send | aid 
Americans | stand united | support of the men and women 
Russia | must back | its commitment 
