<story>Politics|Megan-McCain-campaign-blog</story>
<start>20080813224722.971</start>
<end>20080813224941.743</end>
Cindy McCain's sprained hand | got | a little attention 
how Meghan McCain | is help keep | the McCain campaign cool and talks 
John McCain | can be described | many ways 
Meghan McCain | is | the campaign trail 
she | 's chronicling | his 23-year-old daughter adventures 
people | to watch | American Idol 
She | has | a blog site 
She | shows | pictures of his 23-year-old daughter dad 
She | has | this breaking news 
she | decided | Father's Day 
She | had been | an Independent 
She | writes | his 23-year-old daughter dad 
she | has | videos 
we | will because | my dad 
He | has | the most experience 
we | share | DNA 
Megan McCain | would not do | an interview 
she | has written | a children's book 
his 23-year-old daughter father | is being released | next month 
she | will do | no interviews 
another person | knows | his 23-year-old daughter very 
The blog | was | her idea 
she | came | The blog was her idea 
she | came | the idea 
she | wanted | the blog 
both | love | the blog 
she | 's done | such a marvelous job 
the McCain campaign | does not approve | Meghan's copy 
she | shows | pictures of Henry Kissinger's 
the McCain campaign | was necessarily | the endorsement of the McCain campaign 
