<story>Politics|Candidate-flip-flops</story>
<start>20080813225655.743</start>
<end>20080813225938.606</end>
the term flip-flop | can refer | something 
Jeanne Moos | finds | the `` Moost Unusual 
fish | were | what flip-flopped 
The only person | is flip-flopped | this issue 
McCain | would want | me 
The once lowly flip-flop | has been upgraded | recent years 
The flip-flop | peaked | a political weapon 
She | patented | the one piece mold 
Obama | is leading | sales two 
a guy | seems to wear | flip-flops 
they | supporting | SEAN JACKSON 
they | saying | he 
these | support | your candidate 
