<story>International|South-Ossetia-presidential-campaign</story>
<start>20080814001907.612</start>
<end>20080814002024.989</end>
Secretary Rice | said | she 
whichever | may become | president 
they | will have to live | those comments 
we | should n't have | a Republican 
they | can express | their opinion 
they | should be coordinating to make | they 
the remaining months | is going to be | the commander 
we | not show | division 
they | see | we 
statesmanship | is called | here 
both | are exercising | some caution 
Secretary Rice | carry | the weight 
