<story>Crime|Caylee-Anthony-missing</story>
<start>20080814002546.310</start>
<end>20080814002724.575</end>
deputies | are focusing | three dates 
she | turned | mid-June daughter 
re | said to be trying to track | the mother 
She | ` s been held | half a million dollars bond 
charges of child neglect | filing | a false statement 
She | ` s | a K-9 and member of the Body Hunter team 
the search | took | part 
we | went | several locations 
We | went | the area 
We | searched | area 
We | went | another area 
