<story>Politics|Race-factor-presidential-election</story>
<start>20080814014829.537</start>
<end>20080814014951.519</end>
we | discuss | the vacation issue 
Senator Obama | has talked | race 
this campaign | interviewed | Barack Obama 
somebody | would comes | a mixed family 
a place | was | great diversity 
all issues | has been | the need 
he | to keep talking | END VIDEO CLIP 
he | speaks | END VIDEO CLIP 
he | could amplify | his own message 
he | represents | unity 
he | believed | class-based affirmative action 
which | would help | under-privileged people of all races 
he | 's already sending | the fact 
he | represents | racial unity 
