<story>Sports|Cheating-Chinese-gymnasts-accusation</story>
<start>20080814034227.644</start>
<end>20080814034605.962</end>
He | said | they 
COOPER : Tonight , a sight | put | his hands 
his pockets | to show | police in Beijing 
The smallest member | weighs | 68 pounds 
The official line | is | everyone 
the team | turned | 16 
police in Beijing size | begin | wonders 
old | does | this girl look 
the required age | to compete | the Olympics 
the `` New York Times | suggests | half the Chinese team 
the girls | raising | eyebrows 
the `` Times | reports | a 2006 biography 
Hu | listed | her birthday 
which | would make | her 14 
This girl | was listed | as 14 
Amanda Borden | represented | the U.S. 
we | will ever know | the exact age of those girls 
They | do look | they 
definitely advantages | competing | a younger age 
We | tend to be | a lot 
we | are | go 
This Chinese gymnast | knows | the Chinese gymnast who grabbed gold at the Olympics now under fire 
she | admits | she 
she | won | a bronze medal 
she | was | just 14 
Debbie Johnson | has been | coaching gymnastics 
the girls | do n't look | 16 either 
the average height and weight of a 16-year-old gymnast | see here | your gym 
They | average maybe | 100 pounds 
official | suggested | sports writers 
China | got | the ages 
shorter than five feet | weighs | under 100 pounds 
the International Olympics Committee | told | the `` Times 
we | feel | comfortable 
people | directly involved | the athletes 
A spokeswoman for the International Olympics Committee | 's how | legendary gymnastics coach Bela Karolyi 
The man | coached | Nadia Comaneci 
Mary Lou Retin | told | the Associated Press 
these people | think | we 
documented half of the Chinese athletes | are | age 
nobody | could really prove | the only thing that Jerry said 
they | have | people passport 
Former Olympian Amanda Borden | suggests | the U.S. team 
the focus | would still be | the Games 
U.S. | won | the women's team 
The competition | may be over | the fight 
the state-run news agency | translated | the Beijing Olympics 
foreign media | writing | articles 
all girls of the team | were born | December 12th , 1992 
