<story>Social|Future-American-population</story>
<start>20080814120002.934</start>
<end>20080814120122.947</end>
CNN's Alina Cho | is | our control room 
the census report | came | about midnight 
the surprising projection | is | the year 2042 
minorities | will indeed become | the majority 
minorities | are expected to make | 54 percent of the population 
which | will nearly triple | nearly 47 million today 
the Asian population | will rise | about five to nine percent of the total 
the black population | will go up | 14 percent 
The U.S. population overall | will rise | more than 400 million 
85 | will triple | the next 40 years 
the U.S. | deal | this influx 
a lot of people | looking | we 
