<story>Justice|China-Tibet-reporter-arrested</story>
<start>20080814120442.146</start>
<end>20080814120728.145</end>
a British television reporter | sharing | his story 
Chinese police | roughed | a British television reporter 
he | was stripped | his shoes 
China | promised to welcome | the world 
today | slammed | the door 
A day | began | a brief moment of protest 
journalists | permitted | commitments 
no one | has told | the police 
-LRB- | SPEAKING | FOREIGN LANGUAGE 
activists | chain | themselves 
The authorities | are | a fury 
campaigners | proclaim | the cause of Tibet 
We | 're | we 
the moment | encountered | the Chinese response 
they | hold | me 
These people | are arresting | me 
the Chinese police | doing | -- 
they | 've taken | my shoes 
They | 've taken | equipment 
They | 've taken | all the equipment 
they | wo n't tell | me 
-LRB- | SPEAKING | FOREIGN LANGUAGE -RRB- RAY 
-LRB- | SPEAKING | FOREIGN LANGUAGE 
a Chinese colleague | tells | MALE 
a journalist | 're arresting | me 
We | drove | only a few yards 
