<story>Science-technology|Ecoli-alternative-fuel</story>
<start>20080814165647.102</start>
<end>20080814165914.616</end>
folks | were looking everywhere | some sort of answer 
Something | would lower | the price of energy 
an answer | is | science fiction 
a form of the virus E. Coli | to make | fuel 
CNN chief technology and environment correspondent Miles O'Brien | has | the story 
These tiny bacteria | are making | diesel fuel 
the E. Coli cells | have converted | the sugar 
a company | called | LS9 
a harmless strain of E. Coli | to make | fuel 
They | eat | sugar 
his team | have genetically engineered | these tiny oil makers 
E. Coli | could make | other fuels 
We | 've genetically engineered | E 
Coli | to make | fuel 
LS9's E. Coli diesel | can be mixed | traditional fossil fuels 
LS9 's E. Coli diesel | can not be sent | existing pipelines 
an army of microbes | make | a difference 
something | can make | work 
ROBERT MCCORMICK , NATIONAL RENEWABLE ENERGY LAB : If you 've got something that you can make work in a test tube , that 's good . | work | a very large scale 
they | are ramping | they 
They | hope to be making | millions of gallons 
a week | to say | we 
we | 're going to completely eliminate | our dependence 
they | get | the bugs out 
He | 's always got | a great 
he | does | great stories 
he | 's got | a great beat 
he | really understands | a great beat 
we | love | story 
