<story>Social|American-population-change</story>
<start>20080814171853.998</start>
<end>20080814172028.960</end>
New census figures | show | a big shift 
CNN's Alina Cho | looks | the numbers 
This census report | came | at midnight 
the surprising projection | is | the year 2042 
minorities | will indeed become | the majority 
minorities | are expected to make | 54 percent of the population 
which | will nearly triple | nearly 47 million today 
the Asian population | will rise | about 5 to 9 percent of the total 
the black population | will go up | 14 percent 
The U.S. population overall | will rise | more than 400 million 
85 | will triple | the next 40 years 
