<story>Money|Inflation</story>
<start>20080814172442.746</start>
<end>20080814172640.664</end>
we | know | every time 
we | pump | gas 
the annual rate of inflation | stands | a 17-year 
They | 're up | about 30 percent 
Companies | may absorb | the costs 
they | 're paying only | so long 
we | are seeing | increases 
most of our wages | are not increasing | a 5.6 percent annual rate 
we | are not keeping | the inflation rate 
we | 're seeing | some inflated prices 
The Dow | is up | 146 points 
we | get | these worrisome numbers 
that Americans | will continue to drive | less 
inflation | may be | the rise 
