<story>Politics|Swift-boat-book-Obamanation</story>
<start>20080814200901.573</start>
<end>20080814201048.313</end>
the swift boats | have set | sail 
The author of a book | attacked | John Kerry's war record 
Vietnam | ultimately torpedoed | Kerry's campaign 
Jerome Corsi | is | The Obama Nation 
which | debuts | number one 
a radical liberal | 's tried to cover | his connections 
Corsi | has | a record 
other books | call | question 
which | is why | Kerry 
Kerry | launched | a Web site yesterday 
Obama's campaign | has to debunk | every single assertion 
he | acknowledges | Obama 's campaign 
