<story>Politics|Superdelegates-under-investigation</story>
<start>20080814233309.485</start>
<end>20080814233414.483</end>
some elected officials | plan to take | part 
some elected officials party's convention | being indicted even | investigation 
a Democratic superdelegate | supporting | Senator Obama 
Kilpatrick | is charged | conspiracy 
The mayor | been planning to attend | that convention 
A judge today | lifted | a travel ban 
a second judge | reimposed | the ban 
five Democratic lawmakers | are | investigation 
Jefferson | is planning to be | the convention 
The Republican Party | does not convey | superdelegate status 
Seven Republicans lawmakers | are | investigation 
corruption charges | may have been | a very good idea 
