<story>NULL</story>
<start>20080815030010.286</start>
<end>20080815035957.500</end>
Russian forces | keeping | their grip 
America | walking | a very fine line 
we | 're | spilling American blood 
details | are still | dispute 
Georgia | claims | Russian forces 
they | are mainly limited | the break away territories of Abkhazia 
Secretary of State Rice | is | Paris 
Defense Secretary Gates today | sounding | a clear warning 
he | said | quote 
The U.S.-Russia relationship | could be adversely affected | years 
He | ruled | any American use of force 
The United States | spent | 45 years 
no reason | to change | that approach 
the president | told | about a third of the country 
the situation | is | the ground 
we | do have | a fairly good idea 
the Russians | attacked | two fronts 
they | went | both 
they | secured | those areas 
They | pushed | undisputed Georgian territory 
they | seized | one 
the thing | struck | me 
most | was | just how comfortable 
The Georgian troops | 've seen have rallied | the original onslaught 
they | pose | no real threat 
they | most | the second front to the west 
we | heard | a column of about 100 Russian armored vehicles 
The Russians | are | the box seat 
Russia | looks | they 
Russian officials | said | today 
Georgia | would help | the two breakaway provinces Abkhazia 
they | see | their reaction 
Russia | sounds | Russia 
they | want to do | we 
Russia | is | let 
they | 're making | very clear 
they | believe | the ground 
The people | do n't want | no way , especially , that south Ossetia , is going to reunify with Georgia or anything of the kind 
They | were trying to prevent | Abkhazia 
They | could n't do | Abkhazia 
the major administrative center | has changed | hands 
The third time | being just | the last few days 
the Russians | retook | center 
an American military force | already straining | the seams 
they | to back | their guarantees 
the United States | has made | mistakes 
America | seen | Russia 
some people | watch | America 
the West | has | the idea of Russia 
the Russians | feel | they 
Georgia as part of NATO | is right there | the southern border 
They | feel absolutely surrounded | this decision 
the United States | to agree | the missile shield 
They | 're really not going to like | The people 
we | 've mentioned | the top 
we | 've heard | a lot of tough talk 
the Defense Secretary | ruling | the use of force 
We | 'll have | more 
we | heard | the top of the program 
We | talked | this last night 
We | do n't really have | that many options 
the only option | seems to be | the forefront 
Russia | to show | some remorse 
we | saw | Defense Secretary Robert Gates 
he | called | its aggressive posture and actions 
the U.S.-Russian relationship | could be adversely affected | years 
he | got | a briefing 
The president | called | Russia 
Georgia's territorial integrity | to honor | the cease-fire agreement 
Russia | would face | consequences 
She | said | the consequences 
she | conceded | perhaps Russia's leaders 
Condoleezza Rice | was | Paris 
she | hoping to get | all this 
the head of the European Union | negotiated | a cease-fire agreement 
that Secretary Rice | is bringing | Georgia 
the President of Georgia | can sign | Georgia 
catch | allows | Russia 
south Ossetia | to enforce | quote , unquote 
specific language | needs to be toughened up | Russia 
Russia | can use | security 
some kind of pretext | to continue | its military occupation 
the French | are working | France 
we | have | a new Web 
a big new development | could bring | a lot more Hillary Clinton supporters 
next | is | Raw Politics 
its always low prices | does | Wal-Mart 
the company | is now sending | its employees 
We | 've got | the facts 
China | knew | one of its gold medal-winning-gymnasts 
he | was also pretty relaxed | his campaign jet 
we | have just learned | tonight 
the captain | declared | an emergency 
the controls | point | the plane 
The captain | told | passengers 
An escape slide in the tail cone | was | a minor problem 
she | declared | an emergency 
we | 'd like to declare | this an emergency 
we | 'd like | 3-0 
we | have | Senator Obama 
The plane | landed | incident 
A | shout | out 
they | have said | at least 
they | warned | could doom Barack Obama 
the Clintonites 18 million supporters | has been | a burning question 
they | hope will finally fizzle | the decision 
she | ran | the fact 
she | was | the first woman 
the Democrats | will handle | the details 
candidates | has been | a staple of political conventions 
Pat Schroeder | was | the last woman 
She | got | eight votes 
Clinton | could expect | a lot 
she | could politely decline | the support 
everyone | to get | Obama 
Larry Sabato | is | the University of Virginia 
she | can make | Langley , Virginia 
all | letting | the people's voice 
Larry Sabato | will supposedly lead | greater unity 
She | benefits | the process 
Senator Hillary Clinton | has made | history 
She | benefits | Obama 
she | 's well positioned to run again | four years 
John Kerry | was kept | unanimous acclamation 
43 votes | going | Dennis Kucinich 
Obama | loses | too much attention 
a night | should be | unification 
Hillary Clinton | vows | Senator Clinton 
conspiracy fans | will be | no last-minute grab 
She | will take | her bow 
the trail | to get | Obama 
A different kind of coming | happens | Saturday 
Pastor Warren | is hosting | a forum 
CNN of course | is going to bring | CNN of course 
Coverage | begins | 8:00 p.m. Eastern 
TV | weighs | the Democratic Convention 
the controversy | continues to squirrel | the accuracy of the ages 
We | 're | Digging Deeper 
she | became | the very delicate stagecraft to bringing Hillary supporters into the Obama tent work 
Julia Child | was doing | Julia Child best 
We | have | some more `` Breaking News 
We | have just received | some video of Turkish journalists 
the shots | watch | the window 
they | 're trying to back | the vehicle 
we | 're told | one journalist 
We | 're | his current condition 
this video | has just come | CNN 
the first time | are seeing | Though 
we | have already seen | one Georgian journalist shot 
the arm | doing | a live shot 
they | realized | they 
They | were | south Ossetia 
We | do n't know | the exact location 
They | were | their way 
they | were traveling | Gori 
the sources of the shooting | is | this time 
We | understand | one 
the reporter | was hit | his left eye 
they | were taken | a makeshift hospital 
we | 're getting | a makeshift hospital in an underground shelter in Tskhinvali 
a very difficult situation | have | multiple actors 
One of the people in this vehicle | looks | they 
the right | using | some of multiple actors clothing 
one of the dangers | reporting | a war zone 
the question of what | happens | the convention 
Her name | will be put | a roll call vote 
She | 'll encourage | her delegates 
Barack Obama | want to have to do | this or 
his hand | forced | the Clintons 
one | would think | they 
the Obama campaign | knew | the very beginning 
they | wanted to put | a period 
they | 've known | all 
they | watched | the past three months 
we | 're going to demonstrate | the streets 
we | 're not going to vote | Barack Obama 
her name | gets put | the nomination 
of | looked | months 
those | are | politically astute as 
we | going to see | television 
they | go | each delegation 
the goal | having | a unified convention 
they | have not worked | the details 
Her name | will be put | nomination 
a good deal | solving | 37.2 percent 
one big happy family | working together | concert 
this happened and | how | big a deal 
itself | strikes | me 
Hillary Clinton | has been arguing | some time 
a deal | 's been | my understanding 
a deal | will not be | prime time 
a deal | will be | the late afternoon 
Hillary | is going to have | a slot 
Bill | is going to have | a slot 
we | 're going to have | a roll call vote 
they | did n't seem to want | a few weeks 
They | have given | the appearance 
they | have given | the appearance 
a candidate | want to be | a position 
they | believe | Obama 
we | seem to have | a problem 
they | fall | line 
he | be | a little giving and gracious 
She | has been warning | her people 
this and | 're going to have | a lot of angry people 
that as much | is | the Clintons 
which | is designed to have | nothing 
200 people | can make | noise 
the people | take away | a convention 
something | happens | the floor 
no one | expects | this point 
the dead enders | are not going to give | on Hillary Clinton 
Thursday night | let 's | Barack Obama 
Have | heard | term 
candy | thrown | Barack Obama 
other amphibians | vanishing | a rate 
Hundreds of species | are already lost | good 
this threat of mass extinction | could also have | repercussions 
Frogs | have been | hundreds of millions 
these creatures | are | risk 
We | think | in 
we | 've lost | hundreds of species 
other researchers | have identified | a common thread 
a fungus | has infected | habitats 
we | lose | species 
we | have set | protected areas 
representative of the problem | facing | amphibians 
Scientists | believe | global warming 
the animals | become | the fungus 
the only known survivors of what | was | a flourishing population 
Plans | are | way 
amphibians | are | the ecosystems 
they | help keep | insect numbers 
We | better get used | a lot of mosquitoes 
amphibians | have survived when | many other species 
scientists | wonder | Scientists die-off 
an environmental change | could threaten | humans 
Peril Battle Lines | airing | December 
the giant retailer | try to pressure | its employees 
a story | has | more twists 
we | learned | today 
All | is ahead | 360 
Wal-Mart | is tangled | a new controversy 
the world's largest retailer | is pressuring | its workers 
they | are being told | Mart employees employer 
Wal-Mart officials | do not see | Wal-Mart 
Wal-Mart | cross | a legal line 
CNN's Randi Kaye tonight | Keeping | Them Honest 
these days | is | its customers 
the special message | sounds | vote Republican 
The theory | goes | Wal-Mart 
the White House | could keep | labor unions 
Obama | has supported | the pro-labor measure 
the Employee Free Choice Act | said | he 
we | should pass | the Employee Free Choice Act 
companies | to block | unionization 
Randi Kaye | could drive up | Wal-Mart's costs 
they | were summoned | meetings 
he | attended | a meeting 
a Democratic government | would be | Wal-Mart 
We | were basically told | we 
they | were | this bill 
Republican | would be | Wal-Mart 
Several people | were offended | we 
the Employee Free Choice Act | to explain why | Wal 
Mart | is opposed | Wal 
the company | is violating | election law 
the group | has filed | a federal complaint 
he | 's heard | complaints 
Barack Obama's name | was mentioned | the meeting 
he | was | a co-sponsor of this legislation 
he | becomes | president 
the act | would help | workers bargain 
CNN | obtained | this memo 
anyone | representing | our company 
we | were telling | associates 
we | will not take | sides 
Wal-Mart | break | the law 
Federal election rules | do allow | companies 
Wal-Mart | walked right up | the line 
They | have to have crossed | an objective threshold 
they | 're just talking | legislation 
they | 're talking | the pros and cons of different candidate's positions 
We | believe | the FEC 
we | 've know | all along 
we | did | nothing 
Randi | joins | companies to block unionization 
we | know | what Wal-Mart's relationship 
they | favor | one more 
Wal-Mart | does seem to favor | the Republicans 
now the company | is saying | its political donations 
now | can work | leaders 
We | checked | the Center 
which | tracks | political donations 
just | to see where | the money 
we | learned | Wal-Mart 
the Republicans | got | most of the cash 
Republicans | got | 98 percent of the money 
Evidence | suggests | China's government 
one of its female gymnasts | was | n't 16 
she | competed | this week 
all chefs | have | secrets 
Julia Child | trumps | China 's very youthful-looking female gymnasts 
China's women's gymnastics team | won | gold 
China's gymnasts | outperformed | the U.S. team 
they | cleaned | a cloud of doubt 
the Chinese gymnasts | are | the Chinese gymnasts competitors 
A debate | has been raging | whether three of the six Chinese gymnasts 
the Associated Press | found | another Chinese news report online 
November | giving | one of the girl's ages 
article | was later pulled | the Website 
China | insists | all the gymnasts 
She | won | gold 
1996 | medaled | 1992 
as much height | to flip | around 
the same time | have | less experience 
a physical advantage | competing | a younger age 
The advantage | being | older is 
the Chinese gymnasts | average | years 
they | 're | 4 ' 7 
Health | said | 11-year 
old Chinese girls | averaged | 4 ' 9 '' 
they | 're | closer 
they | 're | closer 
