<story>International|South-Ossetia-war</story>
<start>20080815120358.169</start>
<end>20080815120443.581</end>
Let | 's take | a look 
President Bush | will be speaking | the Russian invasion of Georgia 
He | is | his way 
Secretary of State Condoleezza Rice | will be holding | a press conference 
She | arrived | there earlier today 
The news | comes | Georgia 
Russian troops | are still blocking | the city of Gori 
They | 've called | Russian troops 
Russian warplanes | are dropping | cluster bombs 
Secretary Rice | was expected to speak | about 10 minutes 
We | 'll likely wait | the president 
