<story>Politics|Clinton-convention-role</story>
<start>20080815122307.016</start>
<end>20080815122454.424</end>
The Obama campaign | reaching | a deal 
They | will be placing | CHETRY name 
that enough | to keep | Clintonites 
Alexandra name | up | nomination 
a way | to bring | peace 
the Democratic Party | has | a history 
Senator Clinton | goes | campaign 
Jason | show | Hillary Clinton 
we | 've done | this before 
tradition | to be put | the nomination roles 
the Reverend Jesse Jackson | was put | Young America 's Foundation 
she | captured | half of the delegates 
he | should have done | Young America 's Foundation 
he | ca n't acknowledge | that Hillary Clinton 
