<story>International|Iran-Iraq-assassins-training</story>
<start>20080815124558.353</start>
<end>20080815124712.594</end>
News | just coming | CNN 
the U.S. military | is reporting | Iraqi insurgents 
We | get | Barbara Starr 
She | 's been working | the story 
Baghdad | does confirm | CNN 
their latest intelligence | indicates | Iraqi Shia fighters 
U.S. officials | are confirming | they 
Iran | to cut | Iran 
the U.S. | believes | this assassination squad training 
four | is being done | Iran's elite Alquds force 
They | are said to be | Iraqi government officials 
this week | gave | the Iraqi government 
They | are hoping | Iraq 
