<story>Politics|Obama-Mccain-Warren-debate</story>
<start>20080815141739.424</start>
<end>20080815141907.078</end>
Barack Obama | hoping to make | inroads 
evangelical voters | favor | Republicans 
CNN Opinion Research Corporation poll | shows | whites 
evangelical voters | favor | John McCain 
78 percent of evangelicals | supported | President Bush 
John McCain | will bid | those evangelical votes 
a live forum | hosted | pastor Rick Warren 
Earlier Warren | told | CNN's `` AMERICAN MORNING 
he | 'll look for | a candidate 
We | 're going to look | four different segments 
which | is | the role and responsibility of the presidency 
they | believe | the constitution 
We | 're going to look | a section 
no matter | answer | each of these guys 
somebody | is n't going to like | each of these guys 
we | 're going to look | America's role 
we | 've been | a blessed nation 
we | bless | others 
forum | live here | CNN 
politics | live | CNN 
