<story>Human-interest|Special-security-bag</story>
<start>20080815162422.526</start>
<end>20080815162611.969</end>
all | know | the drill 
liquids and gels | go | a Ziploc bag 
laptops | have to be taken out | the case 
they | go | security 
CNN Homeland Security Correspondent Jeanne Meserve | has | the story 
A zipper | opens up | a clam shell 
they | can get | a clean look 
a clean look | is still | the bag 
less time | spent putting | things 
the bin | putting | things 
ELLEN HOWE , TSA : If they can get a clean look at the laptop while it 's still in the bag , that 's less time spent putting things in the bin and putting things back in the bag at the other end . | may help move | the process 
fewer computers | accidentally abandoned | screeners owners 
They | grab | their owners bags 
they | forget | their owners laptops 
we | talked to loved | the new cases 
MESERVE | -LRB- | camera -RRB- 
They | cost | about the same 
