<story>Disaster|Atlantic-developing-hurricane</story>
<start>20080815163414.584</start>
<end>20080815163504.067</end>
Chad Myers | tracking | some troubles 
The storm | refuses to get | a center 
they | ca n't even call | a center 
they | ca n't find | a defined center 
right now | 's going to be running | the Dominican Republic 
Haiti | 's going to cause | Haiti 
Storms | want to be | water 
they | get | their energy 
the computer models | are still taking | so good 
so good | out | the ocean 
the U.S. | has to pay | attention 
we | 'll check | with 
