<story>Human-interest|Whitfield-olympics-veteran</story>
<start>20080815181329.806</start>
<end>20080815181735.618</end>
the millions | descending | the Chinese capital 
London | became | the host of the 2012 games 
the committee | chose | London 
we | 're | both over-the-top 
we | pack | our bags 
Olympic | becomes | a family of people 
people | meeting | people 
Beijing | will be | the most exciting experience 
The limited time | 've spent | sport 
He | does n't know | sure 
the only man | to win | gold 
they | stayed | course 
dad | collectively winning | three golds 
three | was | all worth 
his joints | is already feeling | healing powers 
Old friends | do n't recognize | F. WHITFIELD : A fighter then , and a fighter now , who says the constant shooting pain in his joints is already feeling healing powers from this surprised-filled journey to Beijing . 
they | will remember | the face 
the goal | going | Beijing 
the prospect of these octogenarian Olympians | meeting | the 20th Olympiad 
our adventure | starts right | the CNN World Headquarters 
Whitfield | is | our studio 
