<story>Politics|Georgia-president-Saakashvili</story>
<start>20080815210517.816</start>
<end>20080815210603.962</end>
He | studied | law 
the United States | returned | Georgia 
he | was elected | the parliament 
Mr. Saakashvili | was appointed | minister of justice 
he | resigned | a year 
He | won | fame 
November of 2003 | holding | the red flower of the Rose Revolution 
He | stormed | the parliament building 
Mikhail Saakashvili | was elected | president 
He | lives | his family 
President Mikhail Saakashvili | live | the next hour of THE SITUATION ROOM 
