<story>International|US-Russia-tensions</story>
<start>20080815231113.605</start>
<end>20080815231339.117</end>
today | stepped | his criticism of Russia 
Moscow | to stop | its bullying and intimidation 
he | put | his criticism of Russia 
the president | appears | face of Russia's aggression 
the United States and Russia | have deteriorated sharply | September 11th 
Elaine Quijano | has | our report 
Russia | has damaged | its credibility 
acceptable ways | to conduct | foreign policy 
-LRB- | SPEAKING | FOREIGN LANGUAGE -RRB- QUIJANO 
Georgia's 2003 | rose | revolution 
President Bush | delivered | a speech 
Georgia's capital | making | clear his allegiance 
Vladimir Putin | exchanged | warm words 
FORMER RUSSIAN PRESIDENT | -LRB- | translator -RRB- 
His willingness | to listen | his counterpart 
We | worked very hard | the past years 
ways | to be | we 
QUIJANO | -LRB- | camera -RRB- 
critics | argue | relationship 
Russia | has cooperated | other issues 
the president's freedom agenda | has clearly collided | the Kremlin 
