<story>Justice|Caylee-Anthony-missing</story>
<start>20080816005420.522</start>
<end>20080816005557.419</end>
the people | touched | our lives 
We | ` re going to light | -LRB- BEGIN VIDEOTAPE -RRB- G. ANTHONY : Have a small cake inside . 
you guys | have | children 
today | don | ` 
they | mean | more 
daughter | would be | home 
That day | comes and passes | this Saturday 
we | find | she 
The awareness | has got to be | there every single day 
s | been | every day 
people | have | no idea 
guys | don | t give 
