<story>Campaign 2008 / Obama / Vice President</story>
<start>20080823020129.333</start>
<end>20080823022036.714</end>
we | have breaking | news 
CNN | has confirmed | Barack Obama 
we | know | Virginia Governor Tim Kaine 
there | are | other reports 
we | 're getting | information 
CNN | indicating | Indiana Senator Evan Bayh 
We | have just gotten | some new video of the Senator and Michelle Obama 
That | 's going | the restaurant 
reporters | shouting outside | this moment 
we | have now confirmed | this infamous , famous text message 
a senior Obama campaign source | telling | me 
text message | could come as early | 4:00 a.m. 
That | leaves | Delaware Senator Joe Biden 
some | are saying | the leading candidate 
you | can see | the 
We | have learned also | a flight 
Chicago's Midway Airport | has landed | New Castle 
It | is getting | a little silly 
the serious money | does seem to be | Senator Joe Biden 
the Obama campaign | is holding | real intrigue 
who | are | Obama's choice 
it | wo n't be | him 
Several former Clintonites | confirmed | the record 
she | was never vetted | Obama's number two 
you | want | the job 
I | have never said | I 
Reporters | staked | the home of the most frequently mentioned possibilities 
the news | ended up looking | a real estate show 
Chicago | had landed | New Castle 
Biden | has been dodging | cameras 
I | 'm | the guy 
Those potential candidates | to emerge | their homes today 
I | do n't really comment | my phone calls 
I | 'm probably | my son's little league ball games 
their lives | admit | the madness 
Indiana Evan Bayh | taking | his sons 
bumper stickers | were being printed | a political paraphernalia factory 
the plant | said | nothing 
We | had | four different signs 
We | had | confidentiality agreements 
we | had done enough planning to throw | people 
I | thought | we 
( CHEERING AND APPLAUSE ) | > | > CROWLEY 
Campaigns | have played | this game 
It | is | just that Obama 
you | talked | a new name 
we | had n't heard | today 
it | is | real 
This | was | a Nancy Pelosi push 
She | pushed | him 
he | vet | him 
it | was | something 
we | know | he 
I | would suggest | he 
he | would n't be | a bad shot 
this | is | a man 
who | is | veterans 
He | 's done | a lot 
he | is | some good credentials 
I | would think | that 
he | would probably be | the longer shot 
you | 're comparing | him 
we | are getting | some feel 
we | starting to show | Candy 
I | got | a second source 
an e-mail | saying | Bayh 
We | 're trying to get | more sources 
it | does look | that way 
We | have | more confirmation 
Evan Bayh | has been told | he 
which | bring | me 
we | do n't have | this part 
all the signals | are sending | us 
Barack Obama | says | he 
Joe Biden | has been | a senator 
he | fit | the message 
> > | ED | ROLLINS 
who | does n't hurt | you 
who | helps | you 
I | think | Joe Biden 
I | think | he 
he | has served | the country 
I | think | he 
I | think | he 
it | 's | a choice 
It | does n't fill | the gaps 
that | are there | her supporters 
it | used to be | the ultimate barometer state 
you | won | Delaware 
you | would win | the presidency 
it | 's | much Missouri 
I | think | he 
people | will say | it 
I | want | you 
It | is | a two-part question 
what | would | Joe 
He | was born | Pennsylvania 
That | is | a place 
Barack Obama | had | problems 
Joe Biden | gets | you 
many | thought | Hillary Clinton 
who | voted | Senator Clinton 
they | be offended | the fact 
she | was not even vetted | the Obama campaign 
Senator Obama | said | Hillary Clinton 
there | are | some people 
who | will be | that convention 
who | will love | Joe Biden 
I | think | everybody 
that hall | will love | Joe Biden 
I | think | he 
he | would be | a terrific choice 
who | tend to be | a little more downscale 
Joe | is | all of those things 
I | think | he 
I | think | there 
You | said | you 
you | did n't even vet | her 
You | did n't call | her 
You | did n't seek | her advice 
