<story>Economy: Bailout Package</story>
<start>20081001020520.000</start>
<end>20081001020758.667</end>
politicians | fail to lead | yesterday and point fingers 
McCain | seemed to be taking | a different approach 
We | will show | you 
what | happened | the trail 
personal finance guru Suze Orman | taking | your questions 
You | can send | them 
the commercial breaks | going | AC360.com 
we | have | new statements 
she | has to say | what 
she | reads to make | sense of the world 
The answer | might surprise | you 
