<story>Campaign 2008 / Obama vs. McCain / Indiana Voter Fraud</story>
<start>20081010025651.000</start>
<end>20081010025755.000</end>
you | know | how much 
I | love | me 
I | come | my office 
I | are often watching | Nancy Grace 
Everyone | knows | this 
I | 'm still | a little 
I | noticed | Nancy 
who | looked exactly | Nancy Grace 
I | thought maybe | Nancy 
she | was actually interviewing | her dangerous doppelganger 
I | think | it 
who | loves | her 
what | do | you 
that | is | Renee Rockwell 
who | happens to be | a very good friend of hers 
HILL | ( wearing | a man's suit 
it | is | their look 
each other , | meaning | it 
You | can see | all the most recent " Shots 
you | can also see | other segments 
That | is | our Web site 
