<story>Sports|Olympics-swimming</story>
<start>20080813153112.435</start>
<end>20080813153220.002</end>
Americas golden boy | is | America s 
Michael Phelps | swam | with two more gold medals 
one | win | an individual event 
Todays two golds | give | Golden boy Michael Phelps adding more gold to his collection . 
Phelps | has | three more chances 
swimming | have dominated | the Olympics 
the lingering question | may have | something 
The pool | is | the one 
The pool | is also | two lanes wider 
special lane ropes | dissipate | waves 
the numbers | seem to prove | The pool 
four more days of swimming | to go | Beijing 
