<story>Politics|Clinton-convention-role</story>
<start>20080814193802.912</start>
<end>20080814194128.585</end>
no doubt | celebrating | KEILAR second place finish 
Clintons name | will be placed | nomination 
We | are | Iowa 
This state | barely went | Al Gore 
a caucus state | s being hotly contested | this year 
the party | putting | Clintons name 
the question | think | a question 
something | to do | Clintons name 
a deal | was made | Barack Obama 
they | wanted to make | Hillary Clintons supporters 
A party | LRB | INAUDIBLE 
the democratic nomination | to win | primaries 
the fact | is | Hillary Clinton 
INAUDIBLE | to make | the nomination of Barack Obama unanimous 
they | will | all support Barack Obama 
they | do want | that recorded and Barack Obama 
he | wants | peace 
He | does nt want | grievances 
One judge | said | One 
he | could take | his electronic tether 
We | heard | the associated press 
another judge | has said | no 
the convention | turns | the way 
Obama | gets | the nomination 
an Obama | pledged | superdelegate 
the Obama campaign | is not disappointed | the judges decision 
Mayor Kilpatrick | was | the convention 
he | d be | a story 
four days | advertising | the candidate 
they | do nt want | any distractions 
They | would all be going | that story 
They | d be asking | all the delegates 
he | leave | office 
he | should go | jail 
Everyone | would be asked | the American voters opinion 
he | d be | part of the story 
the CNN Election Express | makes | its way 
